"student_id","nama_mahasiswa","kota","gender"
"S001","Abyasa Rajata","Bandung","Female"
"S002","Dr. Diah Prabowo, S.IP","Jakarta","Male"
"S003","Cut Yessi Tampubolon","Bekasi","Male"
"S004","Karimah Simanjuntak","Bekasi","Female"
"S005","Ganjaran Najmudin","Bandung","Male"
"S006","Hartana Pratama","Jakarta","Male"
"S007","Waluyo Padmasari","Bandung","Male"
"S008","Martana Samosir","Jakarta","Male"
"S009","Vino Lazuardi","Depok","Female"
"S010","Tgk. Ega Napitupulu, S.Kom","Bandung","Female"
"S011","Ghaliyati Hutagalung","Bandung","Male"
"S012","Ir. Uli Winarno, S.Ked","Bekasi","Male"
"S013","Paris Pertiwi","Bekasi","Male"
"S014","Damar Siregar","Bekasi","Female"
"S015","Dadap Firmansyah","Jakarta","Female"
"S016","Tiara Halimah","Bekasi","Female"
"S017","Wadi Januar, S.Ked","Bandung","Female"
"S018","Mustofa Rahimah","Bekasi","Female"
"S019","Lasmanto Sihotang, S.Kom","Jakarta","Male"
"S020","Vanya Sudiati, S.Gz","Bandung","Female"
"S021","Karen Budiman, S.T.","Depok","Male"
"S022","T. Jaka Laksita","Bekasi","Male"
"S023","drg. Jaeman Nashiruddin, M.Kom.","Bandung","Male"
"S024","Titi Mahendra","Bekasi","Female"
"S025","Rahmi Putra","Bekasi","Female"
"S026","H. Asman Wibowo, M.Ak","Jakarta","Female"
"S027","Ganjaran Januar","Bekasi","Male"
"S028","Gilang Sihotang","Bekasi","Male"
"S029","Paris Dongoran","Bandung","Male"
"S030","Edi Saefullah","Bekasi","Female"
"S031","Oni Santoso","Jakarta","Female"
"S032","Drs. Lalita Hasanah, M.Farm","Depok","Female"
"S033","Kacung Hidayat","Jakarta","Female"
"S034","Dr. Rahmi Nasyiah, S.Gz","Jakarta","Male"
"S035","Tri Kusumo","Jakarta","Male"
"S036","Kania Firgantoro","Bekasi","Female"
"S037","Ami Manullang","Bandung","Female"
"S038","Gaduh Mangunsong, S.E.I","Bandung","Male"
"S039","Tiara Kuswoyo","Bekasi","Female"
"S040","Nurul Manullang","Bekasi","Male"
"S041","Sarah Saputra","Jakarta","Female"
"S042","Rika Tarihoran","Bekasi","Female"
"S043","T. Anom Puspita","Bandung","Male"
"S044","dr. Raharja Agustina","Bandung","Female"
"S045","Dr. Rika Prayoga","Jakarta","Male"
"S046","Dr. Heru Hassanah","Bandung","Female"
"S047","Ani Mustofa","Bandung","Male"
"S048","R.A. Humaira Firgantoro","Jakarta","Male"
"S049","Sutan Tasnim Winarno, M.Pd","Depok","Male"
"S050","Widya Prabowo","Bekasi","Female"
"S051","Okta Uwais","Jakarta","Male"
"S052","Ir. Langgeng Nuraini, M.Ak","Jakarta","Male"
"S053","Ina Winarno, S.Pd","Bekasi","Male"
"S054","Jarwi Agustina, M.Pd","Depok","Female"
"S055","Edison Prastuti","Bekasi","Female"
"S056","Sutan Pangestu Saptono, M.TI.","Bekasi","Female"
"S057","Gilda Sitompul","Bekasi","Male"
"S058","Dian Samosir","Jakarta","Female"
"S059","Dr. Siska Widiastuti","Bandung","Male"
"S060","Lidya Novitasari","Bekasi","Female"
"S061","Putu Kusmawati","Bekasi","Female"
"S062","Nalar Putra","Jakarta","Male"
"S063","Kadir Prakasa, S.Psi","Bekasi","Female"
